Article;Désignation;Qtite;Vendeur;R_vendeur;Acheteur;R_acheteur;Type_Op;Utilisateur;dpr;pmp;DATE;HEURE
14000957;Vinaigre BOUT Plastique 75 Cl ;10.000;EPICERIE                      ;14;CHARCUTERIE TRAITEUR;20;Cession interne;OUALI;;;24/07/2018 ;09:20:00
32006194;STYLO A BILLE BLEU CRISTAL    ;35.000;CULTURE-PAPETRIE              ;32;MOYENS GENERAUX ALGER;99;Auto-consommation;OUALI;;;24/07/2018 ;09:41:33
32022811;STYLO NOIR                    ;3.000;CULTURE-PAPETRIE              ;32;MOYENS GENERAUX ALGER;99;Auto-consommation;OUALI;;;24/07/2018 ;09:41:47
24000153;MERGUEZ SPECIAL ARDIS LS      ;11.745;BOUCHERIE / VOLAILLE          ;24;CHARCUTERIE TRAITEUR;20;Cession interne;OUALI;;;24/07/2018 ;09:54:42
24000044;ESCALOPE DE DINDE LS          ;14.850;BOUCHERIE / VOLAILLE          ;24;CHARCUTERIE TRAITEUR;20;Cession interne;OUALI;;;24/07/2018 ;09:55:02
24000062;CUISSE DE DINDE SANS OS TRAD  ;13.900;BOUCHERIE / VOLAILLE          ;24;CHARCUTERIE TRAITEUR;20;Cession interne;OUALI;;;24/07/2018 ;09:55:22
24000004;CUISSE POULET LS              ;24.500;BOUCHERIE / VOLAILLE          ;24;CHARCUTERIE TRAITEUR;20;Cession interne;OUALI;;;24/07/2018 ;09:55:38
24000009;ESCALOPE POULET TRAD          ;18.000;BOUCHERIE / VOLAILLE          ;24;CHARCUTERIE TRAITEUR;20;Cession interne;OUALI;;;24/07/2018 ;09:55:58
24000038;POULET ENTIER LS              ;8.020;BOUCHERIE / VOLAILLE          ;24;CHARCUTERIE TRAITEUR;20;Cession interne;OUALI;;;24/07/2018 ;09:56:12
15001485;ANNEAUX DE CALAMAR 1KG        ;5.000;P.L.S.                        ;15;CHARCUTERIE TRAITEUR;20;Cession interne;OUALI;;;24/07/2018 ;09:58:19
14004580;CAROTTE 1/2 DAUCY            ;43.000;EPICERIE                      ;14;CHARCUTERIE TRAITEUR;20;Cession interne;OUALI;;;24/07/2018 ;10:07:20
22000830;Olives noires                 ;5.000;FRUITS ET LEGUMES             ;22;CHARCUTERIE TRAITEUR;20;Cession interne;OUALI;;;24/07/2018 ;10:08:09
22000552;PIMENT DOUX MAROCAIN          ;1.022;FRUITS ET LEGUMES             ;22;BOUCHERIE VOLLAILLE;24;Cession interne;OUALI;;;24/07/2018 ;10:53:49
31024655;EPLUCHEUR UNIVERSEL PEDRINI   ;3.000;CONFORT DE LA MAISON          ;31;MOYENS GENERAUX ALGER;99;Auto-consommation;OUALI;;;24/07/2018 ;09:38:01
15004326;CREVETTE DECORTIQU 80/120 500G;10.000;P.L.S.                        ;15;CHARCUTERIE TRAITEUR;20;Cession interne;OUALI;;;24/07/2018 ;09:34:28
14001100;VINAIGRETTE A LA MOUTARDE A   ;20.000;EPICERIE                      ;14;CHARCUTERIE TRAITEUR;20;Cession interne;OUALI;;;24/07/2018 ;09:20:25
14018251;PACK SAUCE TOMA JUMBO 2X 250ML;15.000;EPICERIE                      ;14;CHARCUTERIE TRAITEUR;20;Cession interne;OUALI;;;24/07/2018 ;09:20:46
14014962;HARISSA AMOUR 130 G           ;70.000;EPICERIE                      ;14;CHARCUTERIE TRAITEUR;20;Cession interne;OUALI;;;24/07/2018 ;09:21:14
14009303;huile d olive vierge 75cl     ;6.000;EPICERIE                      ;14;CHARCUTERIE TRAITEUR;20;Cession interne;OUALI;;;24/07/2018 ;09:23:08
14010576;MAIS PRINCE PM   340G         ;60.000;EPICERIE                      ;14;CHARCUTERIE TRAITEUR;20;Cession interne;OUALI;;;24/07/2018 ;09:24:20
22000078;POTIRON                       ;1.700;FRUITS ET LEGUMES             ;22;CHARCUTERIE TRAITEUR;20;Cession interne;OUALI;;;24/07/2018 ;09:24:53
22000078;POTIRON                       ;5.610;FRUITS ET LEGUMES             ;22;CHARCUTERIE TRAITEUR;20;Cession interne;OUALI;;;24/07/2018 ;09:25:16
22000092;TOMATE RONDE 55/65            ;10.600;FRUITS ET LEGUMES             ;22;CHARCUTERIE TRAITEUR;20;Cession interne;OUALI;;;24/07/2018 ;09:25:49
22000839;Olives denoyautees coupees    ;12.000;FRUITS ET LEGUMES             ;22;CHARCUTERIE TRAITEUR;20;Cession interne;OUALI;;;24/07/2018 ;09:26:07
15001410;filet de sole (panga) vrac    ;10.000;P.L.S.                        ;15;CHARCUTERIE TRAITEUR;20;Cession interne;OUALI;;;24/07/2018 ;09:32:35
21000011;DORADE                        ;2.415;POISSONNERIE                  ;21;CHARCUTERIE TRAITEUR;20;Cession interne;OUALI;;;24/07/2018 ;09:33:00
21000017;MERLAN                        ;7.700;POISSONNERIE                  ;21;CHARCUTERIE TRAITEUR;20;Cession interne;OUALI;;;24/07/2018 ;09:33:20
30006192;VIS L 6                       ;1.000;BRICOLAGE                     ;30;MOYENS GENERAUX ALGER;99;Auto-consommation;OUALI;;;24/07/2018 ;10:54:27
