Article;Désignation;Qtite;Vendeur;R_vendeur;Acheteur;R_acheteur;Type_Op;Utilisateur;DATE;HEURE
11003646;Essuie Tout Cotex Basico      ;1.000;DROGUERIE                     ;11;MOYENS GENERAUX ALGER;99;Auto-consommation;RASSOULI;31/10/2018 ;10:49:27
31000630;SERVIETTES DE TABLE 100       ;3.000;CONFORT DE LA MAISON          ;31;MOYENS GENERAUX ALGER;99;Auto-consommation;RASSOULI;31/10/2018 ;10:57:00
31027316;SERVIETTE DE TABLE CLASS      ;1.000;CONFORT DE LA MAISON          ;31;MOYENS GENERAUX ALGER;99;Auto-consommation;RASSOULI;31/10/2018 ;10:57:32
31000785;CUILLER PM                    ;1.000;CONFORT DE LA MAISON          ;31;MOYENS GENERAUX ALGER;99;Auto-consommation;RASSOULI;31/10/2018 ;10:57:52
31014383;COTEX SERVIETTES DE TABLE ORIG;4.000;CONFORT DE LA MAISON          ;31;MOYENS GENERAUX ALGER;99;Auto-consommation;RASSOULI;31/10/2018 ;10:58:34
31027797;SERVIETTES DE TABLE ELEGANCEX2;1.000;CONFORT DE LA MAISON          ;31;MOYENS GENERAUX ALGER;99;Auto-consommation;RASSOULI;31/10/2018 ;10:59:22
31000785;CUILLER PM                    ;6.000;CONFORT DE LA MAISON          ;31;MOYENS GENERAUX ALGER;99;Auto-consommation;RASSOULI;31/10/2018 ;11:00:08
32023139;STYLO VERTEX CRISTX V1610 NOIR;5.000;CULTURE-PAPETRIE              ;32;MOYENS GENERAUX ALGER;99;Auto-consommation;RASSOULI;31/10/2018 ;11:01:21
32023105;STYLO ROLLER V703 VERT        ;2.000;CULTURE-PAPETRIE              ;32;MOYENS GENERAUX ALGER;99;Auto-consommation;RASSOULI;31/10/2018 ;11:01:44
31020135;MICROFIBRE 40*50 36062-19     ;1.000;CONFORT DE LA MAISON          ;31;MOYENS GENERAUX ALGER;99;Auto-consommation;CHERGUI;31/10/2018 ;15:02:26
32020080;RAMETTES A4 80GR              ;2.000;CULTURE-PAPETRIE              ;32;MOYENS GENERAUX ALGER;99;Auto-consommation;RASSOULI;31/10/2018 ;10:54:13
31014280;PAPIER FILM 30 M              ;1.000;CONFORT DE LA MAISON          ;31;MOYENS GENERAUX ALGER;99;Auto-consommation;RASSOULI;31/10/2018 ;10:53:52
11004036;ESSUIE TOUT BASICO 3+1        ;1.000;DROGUERIE                     ;11;MOYENS GENERAUX ALGER;99;Auto-consommation;RASSOULI;31/10/2018 ;10:49:48
31027802;METALIQUE 10P                 ;5.000;CONFORT DE LA MAISON          ;31;MOYENS GENERAUX ALGER;99;Auto-consommation;RASSOULI;31/10/2018 ;10:39:31
11003894;ESSUIE TOUT LUMA 4(de6)       ;6.000;DROGUERIE                     ;11;MOYENS GENERAUX ALGER;99;Auto-consommation;RASSOULI;31/10/2018 ;10:40:06
31019013;ROULEAUX ALUMINIUM  300M      ;3.000;CONFORT DE LA MAISON          ;31;MOYENS GENERAUX ALGER;99;Auto-consommation;RASSOULI;31/10/2018 ;10:40:32
